StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15_1,Q16_1,Q17_1,Q18_1,Q19_1,Q20_1,Q21_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Student ID - The value must be a number,"Gender

According to anthropometric charts","Stature/No Shoes
cm - The value must be a number","Eye Height, standing
cm - The value must be a number","Shoulder height, standing
cm - The value must be a number","Elbow height
cm - The value must be a number","Knuckle height
cm - The value must be a number","Height, sitting
cm - The value must be a number","Eye height, sitting
cm - The value must be a number","Elbow rest height, sitting
cm - The value must be a number","Thigh clearance height
cm - The value must be a number","Knee height, sitting
cm - The value must be a number","Buttock-knee distance, sitting
cm - The value must be a number","Popliteal height, sitting
cm - The value must be a number","Chest depth
cm - The value must be a number","Elbow – Elbow breadth
cm - The value must be a number","Hip breadth, sitting
cm - The value must be a number","Arm length
cm - The value must be a number","Hand length
cm - The value must be a number","Abdomen Depth
cm - The value must be a number","Weight (Optional)
kg - The value must be a number"
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}"
2026-03-06 20:48:34,2026-03-06 20:50:59,IP Address,76.32.195.41,100,144,True,2026-03-06 20:50:59,R_3GOyWkhyCVG4J82,,,,,34.1453,-117.3005,anonymous,EN,16749135,Male,179,175,163,143,118,88,72,30,15,59,55,51,15,7,30,58,16,30,148
2026-03-09 15:27:58,2026-03-09 15:33:49,IP Address,134.71.249.133,100,350,True,2026-03-09 15:33:49,R_6RdSi7Hx0wNrhOj,,,,,34.067,-117.7729,anonymous,EN,18484297,Female,166,155,140,26,8.5,81,73,28,17,52,63,42,22,55,48,78,17.5,22,
2026-03-09 15:31:47,2026-03-09 15:34:38,IP Address,172.226.3.208,100,170,True,2026-03-09 15:34:38,R_74OZ1tcDAgg9j9D,,,,,33.8375,-117.9123,anonymous,EN,16216512,Male,187,176,157,122,86,144,132,78,15,53,53,51,17,45,34,61,17,15,
2026-03-09 15:32:57,2026-03-09 15:34:40,IP Address,134.71.249.143,100,103,True,2026-03-09 15:34:41,R_7oFRb9nH4WzC4rM,,,,,34.067,-117.7729,anonymous,EN,17816409,Male,183,174,152,122,76,140,122,74,15,53,51,51,18,48,41,61,18,15,
2026-03-09 15:33:08,2026-03-09 15:37:04,IP Address,134.71.249.244,100,236,True,2026-03-09 15:37:05,R_7hmB9yjDSPW2DTK,,,,,34.067,-117.7729,anonymous,EN,17335123,Male,184,173,153,119,81,139,124,75,16,54,52,50,18,49,42,63,19,16,74.8
2026-03-09 15:33:17,2026-03-09 15:39:12,IP Address,134.71.249.141,100,355,True,2026-03-09 15:39:12,R_7lKdcIaSgdMegQx,,,,,34.067,-117.7729,anonymous,EN,16763136,Male,180,172,150,116,79,137,122,71,15,55,49,49,17,48,41,62,18,15,
2026-03-09 15:16:26,2026-03-09 15:41:48,IP Address,134.71.249.112,100,1521,True,2026-03-09 15:41:49,R_7etvl5xdYBntLHp,,,,,34.067,-117.7729,anonymous,EN,18365113,Female,166,157,142,20,8,87,74.5,20,15,53,54,42,18,45,42,72,18.5,72,
2026-03-09 15:40:22,2026-03-09 15:42:33,IP Address,134.71.249.158,100,131,True,2026-03-09 15:42:33,R_6aWVcO9G6cdXvGM,,,,,34.067,-117.7729,anonymous,EN,16736005,Male,155,144,123,93,65,92,81,27,16,45,48,31,22,43,33,69,17.5,20,64.1
